TIC_ID,Teff,Tmag,r_est,Obs,a_RV,a_EA,a_EM,Per_RV,Per_EA,Per_EM,Elat,Glat,Gaia_ID,RA,Dec,asep_RV,asep_EA,asep_EM,Ttime,TWOMASS,HZ_flag,JWST_flag,Earth_flag,S1_flag,S2_flag,S3_flag,S4_flag,S5_flag,S6_flag,
358111484,3519,11.98,53.33665481,339.255,0.12,0.148,0.331,23.65,32.31,108.12,-80.4538,-35.1247,4652678530630213248,70.0001,-73.3272,2.25,2.77,6.21,0.193,04400003-7319380,1,0,0,0,1,1,1,1,0,
396721620,3920,11.16,53.31595978,134.973,0.221,0.275,0.581,47.24,65.56,201.51,-74.9564,-42.5604,4778368171562305920,65.7079,-56.6537,4.15,5.16,10.9,0.864,04224990-5639134,0,0,0,0,0,0,0,0,0,
31011838,3540,11.59,53.30986774,335.259,0.125,0.154,0.343,24.68,33.74,112.36,-82.9043,-33.8867,4651603311360629760,76.3115,-71.7657,2.34,2.89,6.43,0.214,05051475-7145567,1,0,0,0,0,0,0,0,1,
278181140,3678,11.6,53.09896259,178.497,0.158,0.196,0.428,32.08,44.08,142.38,-76.2062,-25.4338,5208297593349451520,109.3367,-79.3165,2.98,3.69,8.06,0.378,07172081-7918594,0,0,0,0,0,0,0,0,0,
177307808,4330,10.28,53.08520409,335.637,0.278,0.35,0.704,67.47,95.48,272.26,-82.7219,-25.6266,5265522878608227456,103.207394,-72.20062,5.24,6.59,13.26,1.121,06524977-7212023,0,0,1,1,1,1,1,1,1,
306824150,3939,10.7,53.0498635,299.43,0.226,0.281,0.592,48.44,67.28,206.02,-77.8618,-18.8728,5270918010368154880,121.8745,-69.223,4.26,5.3,11.16,0.903,08072989-6913229,0,0,0,0,1,0,0,1,0,
198182380,4699,9.27,53.00656082,340.956,0.424,0.542,1.048,116.61,168.27,452.23,78.9059,40.803,1628542785648652288,245.189671,62.946359,8.0,10.23,19.77,3.615,16204552+6256469,0,0,1,0,0,0,0,0,0,
363913662,3812,11.4,52.99537241,146.664,0.193,0.239,0.513,40.13,55.44,174.12,-75.35,-29.2534,4792453667133339520,89.1864,-51.9163,3.64,4.51,9.68,0.614,05564474-5154585,0,0,0,1,1,1,0,1,1,
219411071,3647,11.18,52.99319894,167.076,0.15,0.186,0.407,30.24,41.49,134.93,-75.9272,-35.4275,4770392073697799680,79.1182,-53.5274,2.83,3.51,7.68,0.33,05162835-5331386,0,0,0,1,0,0,1,1,1,
355281382,3513,11.3,52.99219525,101.088,0.119,0.146,0.328,23.38,31.93,107.02,-73.5912,-17.9691,5491888270951185792,108.8157,-52.9866,2.25,2.76,6.19,0.183,07151577-5259117,0,0,0,0,0,1,0,0,1,
441761546,3884,10.82,52.9434185,340.956,0.182,0.226,0.481,38.06,52.73,163.23,78.8336,31.2658,1705249252287120384,260.493,77.3679,3.44,4.27,9.09,0.487,17215833+7722044,1,0,0,0,0,0,0,0,0,
459982553,3423,11.65,52.90532555,331.263,0.148,0.181,0.412,27.4,37.31,127.72,84.3384,35.4523,1632407706459733120,256.3033,65.4688,2.8,3.42,7.79,0.369,17051280+6528076,1,0,0,0,0,0,0,0,0,
21002564,3580,11.46,52.78514393,215.946,0.156,0.192,0.426,30.17,41.29,136.3,76.9622,27.3973,2149425080593754624,272.6991,53.5896,2.96,3.64,8.07,0.383,18104777+5335221,0,0,0,0,0,0,0,0,0,
288514307,4007,10.84,52.71798409,341.55,0.243,0.303,0.634,53.11,74.0,223.63,78.1649,28.5207,2293800333232609536,272.9582,78.3659,4.61,5.75,12.03,1.079,18114995+7821573,0,0,0,0,0,0,0,0,0,
219112414,3583,10.93,52.70390021,292.545,0.155,0.191,0.423,29.89,40.93,134.99,88.0817,29.1743,2258439764405417344,271.682,68.3676,2.94,3.62,8.03,0.369,18064367+6822031,1,1,0,0,0,0,0,0,0,
120597105,2950,10.6,52.64689026,31.914,0.033,0.04,0.098,6.3,8.49,32.97,43.7188,-16.4457,1907836193852827392,337.5526,38.6018,0.63,0.76,1.86,0.01,22301259+3836064,0,0,1,0,1,0,0,0,0,
229510147,3426,11.9,52.63892856,340.956,0.127,0.156,0.354,23.5,32.0,109.48,78.89,18.7598,2247704240249791232,297.292,65.3041,2.41,2.96,6.73,0.231,19491008+6518147,1,0,0,0,0,0,0,0,0,
230137150,4714,9.42,52.4645349,335.745,0.396,0.506,0.977,104.83,151.39,405.96,82.6465,35.2745,1650123862438926720,252.992688,70.559916,7.55,9.64,18.62,2.696,16515824+7033356,0,0,1,0,0,0,0,0,0,
47581598,3696,11.81,52.44297035,76.491,0.109,0.135,0.295,22.82,31.37,100.94,71.2127,22.6299,2120321347107272704,278.5688,48.3061,2.08,2.57,5.63,0.127,18341650+4818218,0,0,0,0,0,0,0,0,0,
122833628,3585,11.63,52.36555117,69.957,0.122,0.15,0.332,23.88,32.69,107.79,69.6488,22.6861,2118615768352305280,277.7691,46.6267,2.33,2.86,6.34,0.19,18310458+4637360,0,0,0,0,0,0,0,0,0,
173089879,2941,11.36,52.27115261,23.085,0.032,0.039,0.096,6.18,8.32,32.4,-8.5444,51.3153,3785519445243129088,171.8253,-5.7739,0.61,0.75,1.84,0.01,11271808-0546259,0,0,0,0,0,0,0,0,0,
115422926,3427,11.4,52.2589502,62.721,0.1,0.123,0.28,19.54,26.61,91.0,67.4699,39.8338,1407486797517247616,252.4907,46.0283,1.91,2.35,5.36,0.121,16495777+4601418,0,0,0,0,0,0,0,0,0,
406855002,4121,10.55,52.14247755,329.049,0.272,0.341,0.702,64.61,90.49,267.75,84.8963,28.1343,2260503517668329216,274.882489,71.358055,5.22,6.54,13.46,1.027,18193180+7121289,0,0,1,0,0,0,0,0,0,
