gaiadr3.hipparcos2_best_neighbour.original_ext_source_id,gaiadr3.hipparcos2_best_neighbour.SOURCE_ID
3191,2858328571171726336
3201,2377258905073541632
3204,2343215929133564928
3219,5007114556335182720
3222,2527327089619807744
3232,2795259862647922560
3239,5006056345112943872
3241,4707020312281121408
3254,4688866619436614912
3256,360649022320764032
3261,5006921282807193856
3263,4906792057400580992
3267,527630414422930944
3278,2543097350538734592
3279,418488045529298816
3280,2783053359434303744
3282,4921575953309241344
3292,4921850659417761408
3293,369146735374791808
3304,2369311944265810944
3311,2529192475520963840
3312,361554680600096000
3313,2524012611818979712
3317,4908245921010386816
3318,4979357797610705152
3323,2779427960359873792
3328,2362868840487108480
3333,369246898310562432
3337,4921558739080323840
3340,4921558670360846592
3354,573942050339484288
3357,2551123201305110144
3358,2362964154401359616
3364,2557884338822304640
3369,2425903017474575232
3377,2802522686705253760
3378,2803019356724035712
3391,5000774703569900800
3400,5005849190250337920
3411,2343898176098803072
3416,2550347049175255936
3423,2347121325716209152
3424,2774294443648895744
3426,4903427654898831488
3441,2522565654516797568
3443,2344114058335205760
3450,5001190868721073536
3451,4685558910466719232
3453,5007986709573535616
3462,390453591393476992
3464,5006194432605994880
3466,2557562903469873408
3468,2317850127161470336
3469,367168615173057408
3470,4616320258076767744
3477,529214845039391232
3480,2341890261708064256
3483,2375786349766370432
3484,2344008024182589696
3495,2808527050985031296
3496,2377766020452786304
3512,424492787764956288
3527,4921948069275969024
3531,2522471199596036736
3533,539239848459770624
3535,2549518150551364864
3537,4922161511970741760
3543,4979490735438029184
3551,2781911310450240640
3557,4999448211510490368
3559,2376087581593256448
3560,4611782058193541248
3578,4975005999307397376
3588,4986970575602213504
3597,369194534069560320
3600,2524139708491200640
3601,4690103496960385408
3603,4979776986418432640
3624,4636254025931054976
3628,5006618882749637888
3631,2342116520585206528
3643,5002678301795058176
3660,5005972266833156352
3663,2369114685007593984
3666,2557702953763490432
3674,2530681282984436736
3696,5032065739344687488
3706,2343839627104501888
3722,2550020872178776448
3723,362231872387814144
3745,2345535172818723584
3747,4921114398943620096
3757,2525688198820543360
3762,5002774577782041216
3765,2552925644460225152
3769,5007597894775058816
3773,2369043010593387008
3777,2537056564935383680
3780,4705158701656527360
3785,4906869057574095872
3793,2549218056891723776
3813,4926529081393983104
3816,4999957525912614912
3831,524645648369204608
3850,2348830516542653824
3859,367710399527582592
3860,526731318847868160
3864,4921135976859246848
3871,2781554896884684416
3878,4709760707574453888
3890,2808682563160925952
3895,2370001750373658880
3913,5007628818539627392
3920,5002928887367105920
3927,4705540644508053888
3930,426757197608443904
3947,2536791926230562944
3950,5000113622203635968
3952,4907611365362217856
3957,2529786521037577216
3967,5031765881907998720
3977,2808586970073149440
3979,2525514785221197696
4001,4985523790099673472
4005,361079760296360064
4007,2537192835657745408
4010,4985622780505934464
4015,4709852207557832832
4016,423840154594538368
4018,4981000502342507648
4022,2349206308999273984
4026,5031659710316435200
4029,2774997856212723712
4056,2552457145132090624
4061,2789773986820056064
4062,4684709743886374016
4067,2556424771496343424
4068,2524633801529229440
4072,2349252278034926208
4073,2349681607261246464
4074,2376452756892238080
4085,2346167396299498368
4093,2355689476233716096
4103,312804946364548096
4111,4999831150795443584
4117,2357372278780696192
4120,2581952820152989952
4127,374163192752986240
4137,2474075542464736384
4144,367873642644772608
4145,5006565006679943040
4148,5031808453624044800
4149,4902656381851525632
4168,415049494709022848
4188,2372420126198974208
4194,2349360652944504192
4195,2345529816995836032
4201,5032505818873642752
4206,417278857613007744
4213,2372466065169196288
4223,378026395579692672
4225,5006590604685061888
4242,2357467317817073792
4249,5001764195316046464
4259,2349391233111697920
4261,4932651505735298560
4265,5030838924886354944
4282,5006521369812256128
4301,2803834610235694208
4308,2524773435209468032
4312,2537344740061139968
4319,2344568706393381888
4339,566471246785511808
4351,2803945317312662400
4357,4631090066491874304
4361,2355521010437041792
4375,2473789188405248256
4376,2355712084941632768
4387,2778298280881817984
4392,4985952737072728448
4403,2524297484116667776
4404,4903891545726413824
4416,362553277676328576
4417,2345869630511255040
4418,2357129046193104896
4420,2345931722854132736
4423,2787850494306538880
4443,2472505371140957952
4450,4920998434826359424
4459,2789433206935168000
4461,2582730621550368640
4462,5001725815488342656
4468,4928367189958259968
4471,2805236247043071104
4473,4710180171260274816
4482,4987607467712676736
4484,4932634291506276864
4485,2581485493351458304
4495,362759195588362368
4516,2525999223171564800
4521,2371606728112456448
4531,311720759180003840
4545,5001468804645487104
4576,4921025372861174400
4597,2371426064608110720
4601,2577606244530236416
4607,4983048067870869376
4611,4986435216518238464
4613,373941602508264576
4617,573106868179776128
4622,4685680986317673472
4643,2372218675052698624
4646,4684454554110079232
4647,2525233031069960576
4650,522824414744038656
4671,4907767014977145088
4686,2553188393379776512
4690,370714196575570688
4691,2344381647681790720
4692,2356020978990038656
4699,2372235648763459200
4700,2352083627851145216
4702,2356290256259997696
4708,2577534570116038016
4720,5034405362650587264
4727,2777525289847634432
4729,4988940247603902976
4739,2345033662373296768
4740,522963193727632896
4752,2581151065722418944
4764,4981851180742348032
4772,4902845257333278976
4795,2536215335460836352
4810,532836224024286464
4812,402107108976099328
4815,2356368149786370432
4824,2473159374400564992
4830,4931667889504574592
4831,4933038636907371776
4833,2356080043380354816
4836,4931666515115048448
4857,402528771686836480
4859,2577307864562003456
4864,4907435271703114880
4870,4710235730956507648
4872,522863309964987520
4876,5002042646635895552
4878,2581192920179310720
4882,4933040900355014144
